epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.711,1.77863,1.61929,1.02382,0.27298,0.24607,0.19461,0.09556,1.79481,1.42624,1.05727,0.000237509,0.000237509,0.000237509
2,550.504,1.63772,1.09738,0.97084,0.30087,0.28726,0.23017,0.11098,1.8097,1.41432,1.06104,0.000451972,0.000451972,0.000451972
3,829.353,1.59735,1.0176,0.95601,0.31535,0.29836,0.23156,0.11199,1.7794,1.41774,1.03919,0.000642872,0.000642872,0.000642872
4,1110.95,1.55237,0.9538,0.94561,0.30978,0.29663,0.23701,0.11806,1.79868,1.3729,1.04546,0.000607971,0.000607971,0.000607971
5,1356.4,1.51622,0.90834,0.93899,0.38156,0.28287,0.25597,0.12931,1.76178,1.38412,1.04317,0.000572628,0.000572628,0.000572628
6,1572.54,1.49432,0.87423,0.92992,0.35729,0.30383,0.25562,0.12646,1.76868,1.44283,1.04091,0.000537285,0.000537285,0.000537285
7,1998.47,1.47798,0.84284,0.92616,0.36405,0.29402,0.25862,0.13369,1.7494,1.40767,1.03789,0.000501942,0.000501942,0.000501942
8,2209.89,1.4466,0.81975,0.92034,0.32539,0.2798,0.23176,0.11467,1.78471,1.45054,1.03032,0.000466599,0.000466599,0.000466599
9,2418.25,1.42505,0.79328,0.9155,0.36488,0.28383,0.24958,0.12724,1.75189,1.43547,1.03252,0.000431256,0.000431256,0.000431256
10,2638.21,1.41949,0.78273,0.91085,0.36019,0.28115,0.25644,0.13167,1.76207,1.44013,1.03183,0.000395913,0.000395913,0.000395913
11,2842.72,1.37201,0.74666,0.91584,0.35869,0.28804,0.26631,0.13445,1.77061,1.42316,1.0386,0.00036057,0.00036057,0.00036057
12,3048.36,1.34366,0.72134,0.91092,0.36453,0.27805,0.24638,0.12386,1.78059,1.50355,1.03499,0.000325227,0.000325227,0.000325227
13,3241.25,1.3236,0.7054,0.90487,0.38951,0.27167,0.25841,0.133,1.76914,1.46839,1.02521,0.000289884,0.000289884,0.000289884
14,3441.32,1.30308,0.68588,0.90111,0.38322,0.29074,0.27616,0.14214,1.76516,1.45624,1.03237,0.000254541,0.000254541,0.000254541
15,3640.5,1.28883,0.66941,0.89903,0.37218,0.27605,0.26186,0.1363,1.76127,1.49402,1.03824,0.000219198,0.000219198,0.000219198
16,3834.33,1.26987,0.65607,0.89364,0.37794,0.2656,0.25833,0.13342,1.76677,1.50306,1.03738,0.000183855,0.000183855,0.000183855
17,4025.27,1.25606,0.64424,0.89089,0.39062,0.27485,0.26733,0.13707,1.77368,1.51014,1.03504,0.000148512,0.000148512,0.000148512
18,4218.66,1.23935,0.63276,0.8889,0.38669,0.27617,0.26916,0.13826,1.76953,1.4871,1.03322,0.000113169,0.000113169,0.000113169
19,4411.74,1.22698,0.62247,0.88634,0.37954,0.27309,0.26587,0.13568,1.77515,1.49698,1.03697,7.7826e-05,7.7826e-05,7.7826e-05
20,4606.85,1.20518,0.60768,0.88196,0.39367,0.27404,0.26809,0.1368,1.78877,1.51023,1.04293,4.2483e-05,4.2483e-05,4.2483e-05
