epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2652.73,1.60436,1.10909,0.97029,0.36245,0.27795,0.24977,0.12445,1.79814,1.45059,1.0566,0.000237975,0.000237975,0.000237975
2,5095.62,1.44156,0.8114,0.9271,0.34116,0.24948,0.23678,0.11916,1.80355,1.55584,1.05351,0.000428854,0.000428854,0.000428854
3,7392.1,1.3614,0.73307,0.90918,0.3751,0.23943,0.24007,0.12163,1.84448,1.61574,1.06265,0.000572608,0.000572608,0.000572608
4,9688.49,1.29712,0.67685,0.89459,0.36812,0.24412,0.23783,0.1212,1.8656,1.68749,1.06997,0.000501942,0.000501942,0.000501942
5,11917.3,1.24243,0.63702,0.88374,0.35627,0.2398,0.23245,0.11602,1.90335,1.78613,1.07748,0.000431256,0.000431256,0.000431256
6,14179.9,1.19127,0.60244,0.87421,0.37066,0.22262,0.22154,0.11057,1.92881,1.86573,1.08626,0.00036057,0.00036057,0.00036057
7,2764.72,1.15624,0.59324,0.86692,0.35733,0.20889,0.21471,0.10782,1.91768,1.91079,1.08003,0.000289884,0.000289884,0.000289884
8,5460.58,1.10479,0.55029,0.85844,0.35917,0.20648,0.204,0.10207,1.94376,1.98051,1.09228,0.000219198,0.000219198,0.000219198
9,2365.33,1.03547,0.51587,0.84641,0.37104,0.18868,0.20586,0.10462,1.96244,2.05313,1.1063,0.000148512,0.000148512,0.000148512
10,2556.14,0.96796,0.48623,0.83595,0.36932,0.18053,0.19987,0.10267,1.98218,2.14331,1.12105,7.7826e-05,7.7826e-05,7.7826e-05
